epoch,train_loss,eval_loss,train_l1_metric,eval_l1_metric,train_scaled_l1_metric,eval_scaled_l1_metric
1000,0.00134875951335,0.00164580857381,0.00100217177533,0.00124541588593,0.0419763959944,0.0487185716629
2000,0.00138513627462,0.00150527665392,0.00102320499718,0.00112725654617,0.0436056852341,0.0477814599872
3000,0.00149810966104,0.00158595014364,0.00115777761675,0.00116612156853,0.0415261164308,0.049205750227
4000,0.00149345863611,0.00151287042536,0.00109165220056,0.00109576364048,0.0495444089174,0.0505506917834
5000,0.00150543253403,0.0016282107681,0.00110576034058,0.00123390904628,0.0503229424357,0.0474276840687
