epoch,train_loss,eval_loss,train_l1_metric,eval_l1_metric,train_scaled_l1_metric,eval_scaled_l1_metric
1000,0.00176644558087,0.000848942203447,0.0171777717769,0.012971624732,3.6016690731,2.94521093369
2000,0.00144028838258,0.000685967621394,0.0147095806897,0.0109410770237,2.78184199333,2.65523171425
3000,0.00137062324211,0.000609660288319,0.0156527794898,0.0117671620101,5.74460506439,4.12420272827
4000,7.38856761018e-05,6.24047024758e-05,0.00449230987579,0.00468179769814,1.98212790489,1.67298650742
5000,3.08660346491e-05,3.24680440826e-05,0.00309865409508,0.00337172253057,1.38545203209,1.15568864346
6000,3.23523236148e-05,2.26980700972e-05,0.00293178367428,0.00272914860398,1.19870603085,0.983465373516
7000,2.57384017459e-05,1.75430395757e-05,0.00273333722726,0.0024332748726,1.05149245262,0.876769781113
8000,3.18776001222e-05,1.37208426167e-05,0.00247805705294,0.00230207806453,1.02614581585,0.76646143198
9000,1.66057434399e-05,1.1703108612e-05,0.00204365327954,0.00196307781152,0.883539021015,0.7143638134
10000,1.67068392329e-05,1.34010633701e-05,0.00223668199033,0.00210606190376,0.686929523945,0.66973233223
11000,2.04434090847e-05,8.92839307198e-06,0.00199264334515,0.00165123050101,0.811170935631,0.626112937927
12000,1.21855264297e-05,8.48649870022e-06,0.00178373523522,0.00164748879615,0.71389746666,0.572632014751
13000,8.91543913895e-06,7.44224871596e-06,0.00159974943381,0.00149604049511,0.639170467854,0.527715444565
14000,1.13666219477e-05,7.46112391425e-06,0.00169041228946,0.00149871222675,0.625941753387,0.507652282715
15000,9.96138078335e-06,6.86605926603e-06,0.00167030375451,0.00139803532511,0.547794163227,0.462505489588
16000,1.45883077494e-05,6.16041006651e-06,0.00155600789003,0.00128636497539,0.570008277893,0.45358812809
17000,8.11607424112e-06,5.66609378438e-06,0.00144138280302,0.00130525929853,0.480442345142,0.40797406435
18000,8.24566632218e-06,5.24786537426e-06,0.00151083176024,0.00118566513993,0.418566972017,0.390280902386
