epoch,train_loss,eval_loss,train_l1_metric,eval_l1_metric,train_scaled_l1_metric,eval_scaled_l1_metric
1000,0.00134504470043,0.00163709081244,0.00100342102814,0.00124321097974,0.0413907840848,0.0479442030191
2000,0.00137273431756,0.00149314524606,0.0010180309182,0.00112201320007,0.0427501387894,0.0469261035323
3000,0.00148460059427,0.00155635131523,0.00114721315913,0.0011474469211,0.0411662608385,0.0479370690882
4000,0.00150017440319,0.00151206087321,0.00109914911445,0.00109941186383,0.0494577139616,0.0500257685781
5000,0.00149502465501,0.0016192807816,0.00110125192441,0.00123091856949,0.0495919324458,0.0467288345098
