epoch,train_loss,eval_loss
100,0.00126562139485,0.00138178723864
200,0.024610567838,0.0068417629227
300,0.00126924668439,0.0241291746497
400,0.0150405857712,0.00120616983622
500,0.00346455862746,0.0147898737341
600,0.00843316875398,0.0111447032541
700,0.00547430803999,0.00902903079987
800,0.00368632446043,0.00842372793704
900,0.00318145565689,0.00255771190859
1000,0.000436639878899,0.00517132226378
1100,0.00183511653449,0.000594244571403
1200,0.000920485472307,0.00318860146217
1300,0.00103797228076,0.00197550607845
1400,0.000733147200663,0.00186531571671
1500,0.000420552620199,0.00167559413239
1600,0.000456910638604,0.000899559294339
1700,0.000286017020699,0.00108617579099
1800,0.000371903122868,0.000336580153089
1900,0.00031176279299,0.00067748647416
2000,0.000352007220499,0.000397816998884
2100,0.000253631791566,0.000479061971419
2200,0.000314605713356,0.000479088164866
2300,0.000281735643512,0.000363322033081
2400,0.000325626868289,0.000360265315976
2500,0.000406369304983,0.000274882477242
2600,0.000319641723763,0.000270571094006
2700,0.000444129371317,0.000292108481517
2800,0.000341049977578,0.000243836329901
2900,0.000487912679091,0.000342465064023
3000,0.000568527611904,0.000278957479168
3100,0.000524487812072,0.000358928460628
3200,0.000672863912769,0.000323604268488
3300,0.000496812979691,0.000318226637319
3400,0.000736735295504,0.000376034615329
3500,0.000742925971281,0.000282232300378
3600,0.000788499717601,0.000436573813204
3700,0.0221756361425,0.000355192401912
3800,0.0156498067081,0.000518757733516
3900,0.0140348281711,0.000472004932817
4000,0.00113011826761,0.000572245800868
4100,0.00826720148325,0.000564455229323
4200,0.00315192854032,0.000508311728481
4300,0.00469722878188,0.000648892601021
4400,0.00299529451877,0.000509907782543
4500,0.00149528658949,0.000779151625466
4600,0.00176140933763,0.000693247071467
4700,0.000422751181759,0.000957738084253
4800,0.0010002781637,0.000803117407486
4900,0.000682749086991,0.00903014093637
5000,0.000599872611929,0.0220574215055
5100,0.000428214319982,0.00153912173118
5200,0.000266152783297,0.013791481033
5300,0.00030585861532,0.00894621014595
5400,0.000281873624772,0.00855350680649
5500,0.000334742595442,0.00777266081423
5600,0.00026931456523,0.00308485375717
5700,0.000333732750732,0.00489974487573
5800,0.000231062716921,0.000684543396346
5900,0.000347561843228,0.00299441115931
6000,0.000357024429832,0.00150804605801
6100,0.000372351234546,0.0017518067034
6200,0.000460907351226,0.00154607102741
6300,0.000343964726198,0.00107967969961
6400,0.000500318943523,0.0010092142038
6500,0.00045391585445,0.000351192662492
6600,0.000576842343435,0.000613207113929
6700,0.000713770336006,0.000267458613962
6800,0.000598140468355,0.000427957216743
6900,0.000764638534747,0.000434591958765
7000,0.000605129171163,0.000337522069458
7100,0.000851440709084,0.000358100456651
7200,0.0113994516432,0.000283137720544
7300,0.0201855171472,0.000264505506493
7400,0.0139592634514,0.000288106617518
7500,0.00777171645314,0.000217344466364
7600,0.00836105085909,0.000332912662998
7700,0.00108268822078,0.000274565332802
7800,0.00490745762363,0.000370138703147
7900,0.00296982424334,0.000342917104717
8000,0.00251418561675,0.000358126941137
8100,0.0017706612125,0.000391783891246
8200,0.000322961393977,0.000309701921651
8300,0.000993565423414,0.000442297110567
8400,0.000422853714554,0.000348782283254
8500,0.000643032835796,0.000530645949766
8600,0.000446862599347,0.000479401322082
8700,0.00039361519157,0.000631938339211
8800,0.000290504220175,0.000584453810006
8900,0.000273892423138,0.000561742985155
9000,0.000278821622487,0.000660690129735
9100,0.000298334634863,0.000506862590555
9200,0.000344109546859,0.000772693369072
9300,0.000258286367171,0.000681603210978
9400,0.000350826710928,0.000962917809375
9500,0.000277949264273,0.00080219458323
9600,0.00039404456038,0.0112143466249
9700,0.000472491723485,0.0218509919941
9800,0.000410772219766,0.00215230556205
9900,0.000519510591403,0.0137184932828
10000,0.000362948630936,0.00747139519081
