epoch,train_loss,eval_loss,train_l1_metric,eval_l1_metric,train_scaled_l1_metric,eval_scaled_l1_metric
1000.0,0.0079598845914,0.0156488157809,0.00737049104646,0.00913885328919,85.4068222046,314.932922363
2000.0,0.00607828004286,0.0106944972649,0.00567891169339,0.00616502994671,57.8716278076,219.122146606
3000.0,0.00482492614537,0.00840178225189,0.00452063465491,0.0049169966951,44.0943946838,168.583648682
4000.0,0.00435419101268,0.00709093920887,0.00411378173158,0.00432292697951,34.8378410339,133.908691406
5000.0,0.00382869504392,0.00630706222728,0.0036328821443,0.00407458422706,28.375667572,108.001693726
6000.0,0.00345474341884,0.00509776175022,0.00328622153029,0.00326250190847,24.4209899902,88.7851409912
7000.0,0.0030810048338,0.00460348557681,0.00293421465904,0.0030053621158,21.2718811035,77.3132858276
8000.0,0.00334666669369,0.00447476981208,0.00321419979446,0.00304811354727,19.196844101,69.0184783936
9000.0,0.0031501785852,0.00424762815237,0.00302955810912,0.00295727490447,17.4801998138,62.4246406555
10000.0,0.00336087681353,0.00415338296443,0.00324924755841,0.0029714810662,16.1776618958,57.1782608032
11000.0,0.00246644788422,0.003706387477,0.00236392300576,0.00261068227701,14.8575620651,53.0080795288
12000.0,0.00294456258416,0.00373536907136,0.00284685846418,0.00271008629352,14.1595745087,49.6014328003
13000.0,0.00306110782549,0.00375119503587,0.00296904426068,0.00279338471591,13.3424015045,46.3375091553
14000.0,0.00290470011532,0.00363369402476,0.00281807151623,0.00273621222004,12.5548114777,43.4190177917
15000.0,0.00284910900518,0.00352353649214,0.00276732817292,0.00268092588522,11.8523139954,40.7645187378
16000.0,0.00224684807472,0.00318615371361,0.00217019137926,0.00238890852779,11.1092662811,38.5696563721
17000.0,0.00222033169121,0.00320579274558,0.00214751670137,0.00244645820931,10.5526485443,36.7357597351
18000.0,0.00259317993186,0.0038083079271,0.00252413447015,0.00308268074878,10.0067930222,35.1057739258
19000.0,0.00249127717689,0.00371829862706,0.00242531090043,0.0030273871962,9.56051921844,33.4263076782
20000.0,0.00215630861931,0.00302182836458,0.00209318101406,0.00236822431907,9.14891433716,31.620885849
21000.0,0.00247831153683,0.00358563871123,0.00241817464121,0.00295833055861,8.71585559845,30.349401474
22000.0,0.00210948917083,0.00287249917164,0.00205176742747,0.00227761082351,8.36558151245,28.7803993225
23000.0,0.00208301050588,0.00279448740184,0.00202755862847,0.00222415826283,8.03665542603,27.5922603607
24000.0,0.00206255097874,0.00274994433858,0.00200941204093,0.00220420653932,7.70150566101,26.4026279449
25000.0,0.00204568961635,0.00269687222317,0.00199461798184,0.00217353343032,7.40199518204,25.3190231323
26000.0,0.00222484907135,0.00316505413502,0.00217608455569,0.00266290595755,7.06781959534,24.2944107056
