Vd,Vg,Id,
0.6,-0.8,0.0001302,-2.54E-009
0.6,-0.7,0.0008337,-1.76E-009
0.6,-0.6,0.002994,-1.22E-009
0.6,-0.5,0.006999,-8.37E-010
0.6,-0.4,0.01245,-4.6E-010
0.6,-0.3,0.01869,-1.31E-010
0.6,-0.2,0.02519,-1.43E-010
0.6,-0.1,0.03156,-7.25E-011
0.6,0,0.03697,-1.57E-010
0.7,-1.8,1.26E-008,-1.95E-008
0.7,-1.7,1.08E-008,-1.63E-008
0.7,-1.6,9.26E-009,-1.37E-008
0.7,-1.5,8.58E-009,-1.16E-008
0.7,-1.4,6.9E-009,-9.67E-009
0.7,-1.3,0.000000006,-8.68E-009
0.7,-1.2,6.22E-009,-6.86E-009
0.7,-1.1,3.21E-008,-5.53E-009
0.7,-1,0.000000611,-4.57E-009
0.7,-0.9,0.0000118,-3.86E-009
0.7,-0.8,0.0001492,-2.77E-009
0.7,-0.7,0.0009331,-0.000000002
0.7,-0.6,0.003245,-1.22E-009
0.7,-0.5,0.007381,-8.28E-010
0.7,-0.4,0.01288,-6E-010
0.7,-0.3,0.01914,-3.5E-010
0.7,-0.2,0.02571,-7.67E-011
0.7,-0.1,0.03221,-1.6E-010
0.7,0,0.03806,1.37E-010
0.8,-1.8,1.41E-008,-2.11E-008
0.8,-1.7,1.21E-008,-1.72E-008
0.8,-1.6,1.04E-008,-1.49E-008
0.8,-1.5,0.000000009,-1.25E-008
0.8,-1.4,8.21E-009,-1.07E-008
0.8,-1.3,6.77E-009,-9.9E-009
0.8,-1.2,7.37E-009,-8.49E-009
0.8,-1.1,0.00000004,-6.3E-009
0.8,-1,0.000000757,-0.000000005
0.8,-0.9,0.0000148,-4.35E-009
0.8,-0.8,0.0001792,-3.29E-009
0.8,-0.7,0.0010012,-2.36E-009
0.8,-0.6,0.003478,-1.59E-009
0.8,-0.5,0.007725,-0.000000001
0.8,-0.4,0.01329,-4.51E-010
0.8,-0.3,0.01954,-3.67E-010
0.8,-0.2,0.0261,-1.84E-010
0.8,-0.1,0.03246,-1.97E-010
0.8,0,0.03885,-1.95E-011
0.9,-1.8,1.55E-008,-2.32E-008
0.9,-1.7,1.34E-008,-1.86E-008
0.9,-1.6,1.18E-008,-0.000000016
0.9,-1.5,0.00000001,-1.36E-008
0.9,-1.4,9.39E-009,-1.16E-008
0.9,-1.3,7.57E-009,-9.85E-009
0.9,-1.2,8.35E-009,-8.87E-009
0.9,-1.1,4.88E-008,-7.27E-009
0.9,-1,0.00000104,-6.13E-009
0.9,-0.9,0.000018,-4.61E-009
0.9,-0.8,0.000209,-3.67E-009
0.9,-0.7,0.0011362,-2.7E-009
0.9,-0.6,0.003698,-1.65E-009
0.9,-0.5,0.008114,-1.06E-009
0.9,-0.4,0.01363,-4.84E-010
0.9,-0.3,0.01991,-4.13E-010
0.9,-0.2,0.02647,-1.7E-010
0.9,-0.1,0.03291,6.79E-011
0.9,0,0.03937,-1.13E-010
1,-1.8,1.72E-008,-2.44E-008
1,-1.7,1.49E-008,-2.06E-008
1,-1.6,1.28E-008,-1.76E-008
1,-1.5,1.12E-008,-1.49E-008
1,-1.4,9.75E-009,-1.25E-008
1,-1.3,0.000000009,-1.08E-008
1,-1.2,9.66E-009,-9.14E-009
1,-1.1,0.000000061,-0.000000008
1,-1,0.00000118,-6.36E-009
1,-0.9,0.0000212,-5.13E-009
1,-0.8,0.0002309,-0.000000004
1,-0.7,0.001258,-2.84E-009
1,-0.6,0.003936,-1.94E-009
1,-0.5,0.008358,-1.06E-009
1,-0.4,0.01399,-5.89E-010
1,-0.3,0.02027,-3.49E-010
1,-0.2,0.02678,-2.72E-010
1,-0.1,0.03332,-1.12E-010
1,0,0.0396,-3.17E-011
1.1,-1.8,1.92E-008,-2.67E-008
1.1,-1.7,1.67E-008,-2.22E-008
1.1,-1.6,1.44E-008,-1.89E-008
1.1,-1.5,1.24E-008,-0.000000016
1.1,-1.4,1.11E-008,-1.38E-008
1.1,-1.3,9.77E-009,-1.21E-008
1.1,-1.2,1.18E-008,-0.00000001
1.1,-1.1,7.89E-008,-9.38E-009
1.1,-1,0.00000147,-7.48E-009
1.1,-0.9,0.0000247,-5.64E-009
1.1,-0.8,0.0002526,-4.89E-009
1.1,-0.7,0.001385,-3.35E-009
1.1,-0.6,0.004177,-2.19E-009
1.1,-0.5,0.00868,-1.32E-009
1.1,-0.4,0.01437,-7.09E-010
1.1,-0.3,0.0206,-2.62E-010
1.1,-0.2,0.02709,-3.08E-010
1.1,-0.1,0.03361,-3.77E-011
1.1,0,0.03985,-1.33E-010
1.2,-1.8,2.12E-008,-0.000000029
1.2,-1.7,1.85E-008,-0.000000024
1.2,-1.6,0.000000016,-2.07E-008
1.2,-1.5,0.000000014,-1.79E-008
1.2,-1.4,1.23E-008,-1.51E-008
1.2,-1.3,1.08E-008,-0.000000013
1.2,-1.2,1.32E-008,-1.08E-008
1.2,-1.1,9.77E-008,-9.22E-009
1.2,-1,0.00000184,-8.22E-009
1.2,-0.9,0.0000278,-6.62E-009
1.2,-0.8,0.0002842,-5.63E-009
1.2,-0.7,0.0015,-3.7E-009
1.2,-0.6,0.004411,-2.49E-009
1.2,-0.5,0.008991,-1.24E-009
1.2,-0.4,0.01471,-8.47E-010
1.2,-0.3,0.02092,-5.41E-010
1.2,-0.2,0.0274,-1.96E-010
1.2,-0.1,0.03386,-2.02E-010
1.2,0,0.04016,2.8E-012
1.3,-1.8,2.31E-008,-3.12E-008
1.3,-1.7,2.05E-008,-2.63E-008
1.3,-1.6,1.79E-008,-2.25E-008
1.3,-1.5,1.55E-008,-1.91E-008
1.3,-1.4,1.33E-008,-1.65E-008
1.3,-1.3,1.21E-008,-0.000000014
1.3,-1.2,1.44E-008,-1.17E-008
1.3,-1.1,0.000000127,-1.02E-008
1.3,-1,0.00000218,-9.46E-009
1.3,-0.9,0.000033,-6.92E-009
1.3,-0.8,0.0003142,-5.88E-009
1.3,-0.7,0.001609,-4.1E-009
1.3,-0.6,0.004666,-2.7E-009
1.3,-0.5,0.009306,-1.36E-009
1.3,-0.4,0.01506,-7.62E-010
1.3,-0.3,0.02126,-4.21E-010
1.3,-0.2,0.02767,-2.99E-010
1.3,-0.1,0.03411,-1.25E-010
1.3,0,0.04039,4.9E-011
1.4,-1.8,2.54E-008,-3.34E-008
1.4,-1.7,2.29E-008,-2.86E-008
1.4,-1.6,1.98E-008,-2.43E-008
1.4,-1.5,1.74E-008,-0.000000021
1.4,-1.4,1.51E-008,-1.81E-008
1.4,-1.3,1.33E-008,-1.56E-008
1.4,-1.2,1.79E-008,-1.29E-008
1.4,-1.1,0.00000013,-0.000000011
1.4,-1,0.00000289,-9.31E-009
1.4,-0.9,0.0000397,-8.1E-009
1.4,-0.8,0.0003596,-6.19E-009
1.4,-0.7,0.00201,-4.58E-009
1.4,-0.6,0.004917,-2.89E-009
1.4,-0.5,0.00964,-1.57E-009
1.4,-0.4,0.01541,-8E-010
1.4,-0.3,0.02158,-4.16E-010
1.4,-0.2,0.02795,-3.49E-010
1.4,-0.1,0.03434,-1.31E-010
1.4,0,0.04057,-9.67E-011
1.5,-1.8,2.79E-008,-3.59E-008
1.5,-1.7,2.43E-008,-3.01E-008
1.5,-1.6,2.19E-008,-2.66E-008
1.5,-1.5,1.92E-008,-2.23E-008
1.5,-1.4,1.64E-008,-1.94E-008
1.5,-1.3,1.49E-008,-1.69E-008
1.5,-1.2,2.08E-008,-1.45E-008
1.5,-1.1,0.000000148,-1.23E-008
1.5,-1,0.00000295,-1.01E-008
1.5,-0.9,0.0000478,-9.17E-009
1.5,-0.8,0.0004073,-6.86E-009
1.5,-0.7,0.001887,-5.48E-009
1.5,-0.6,0.005369,-3.44E-009
1.5,-0.5,0.009992,-1.74E-009
1.5,-0.4,0.01577,-0.000000001
1.5,-0.3,0.0219,-5.12E-010
1.5,-0.2,0.02822,-2.24E-010
1.5,-0.1,0.03454,-2.58E-010
1.5,0,0.04075,-4.41E-011
1.6,-1.8,3.06E-008,-0.000000039
1.6,-1.7,2.68E-008,-3.25E-008
1.6,-1.6,2.36E-008,-2.82E-008
1.6,-1.5,2.08E-008,-2.46E-008
1.6,-1.4,1.83E-008,-2.16E-008
1.6,-1.3,1.68E-008,-1.83E-008
1.6,-1.2,0.000000024,-1.58E-008
1.6,-1.1,0.000000182,-1.34E-008
1.6,-1,0.00000404,-1.14E-008
1.6,-0.9,0.0000521,-9.48E-009
1.6,-0.8,0.0004711,-8.19E-009
1.6,-0.7,0.002046,-0.000000006
1.6,-0.6,0.005427,-3.82E-009
1.6,-0.5,0.0103,-0.000000002
1.6,-0.4,0.01606,-0.000000001
1.6,-0.3,0.02214,-6.67E-010
1.6,-0.2,0.0284,-3.34E-010
1.6,-0.1,0.03471,-1.62E-010
1.6,0,0.04089,-7.65E-011
1.7,-1.8,3.34E-008,-4.17E-008
1.7,-1.7,2.93E-008,-3.52E-008
1.7,-1.6,2.56E-008,-3.04E-008
1.7,-1.5,2.27E-008,-2.64E-008
1.7,-1.4,1.99E-008,-2.28E-008
1.7,-1.3,1.83E-008,-2.03E-008
1.7,-1.2,2.58E-008,-1.75E-008
1.7,-1.1,0.000000276,-1.45E-008
1.7,-1,0.0000056,-1.22E-008
1.7,-0.9,0.000065,-1.03E-008
1.7,-0.8,0.0005055,-9.63E-009
1.7,-0.7,0.002225,-0.000000007
1.7,-0.6,0.005715,-4.28E-009
1.7,-0.5,0.01065,-2.35E-009
1.7,-0.4,0.01639,-1.24E-009
1.7,-0.3,0.02244,-5.09E-010
1.7,-0.2,0.02862,-4.03E-010
1.7,-0.1,0.03488,-3.02E-010
1.7,0,0.04101,-8.03E-011
1.8,-1.8,3.65E-008,-4.51E-008
1.8,-1.7,3.18E-008,-3.78E-008
1.8,-1.6,0.000000028,-0.000000033
1.8,-1.5,0.000000025,-2.85E-008
1.8,-1.4,2.19E-008,-2.49E-008
1.8,-1.3,1.98E-008,-2.16E-008
1.8,-1.2,5.71E-008,-1.88E-008
1.8,-1.1,0.000000282,-1.61E-008
1.8,-1,0.00000548,-1.36E-008
1.8,-0.9,0.0000799,-1.16E-008
1.8,-0.8,0.000581,-9.66E-009
1.8,-0.7,0.002388,-8.14E-009
1.8,-0.6,0.006016,-5.44E-009
1.8,-0.5,0.011,-2.63E-009
1.8,-0.4,0.01672,-1.27E-009
1.8,-0.3,0.02273,-7.72E-010
1.8,-0.2,0.02885,-2.89E-010
1.8,-0.1,0.03503,-3.13E-010
1.8,0,0.04113,-2.16E-010
1.9,-1.8,3.96E-008,-4.89E-008
1.9,-1.7,3.47E-008,-4.07E-008
1.9,-1.6,3.08E-008,-3.56E-008
1.9,-1.5,0.000000027,-3.08E-008
1.9,-1.4,0.000000024,-2.69E-008
1.9,-1.3,2.17E-008,-2.36E-008
1.9,-1.2,3.21E-008,-2.03E-008
1.9,-1.1,0.000000315,-1.74E-008
1.9,-1,0.00000582,-1.44E-008
1.9,-0.9,0.0000796,-1.27E-008
